well_tag_number,date_added,identification_plate_number,well_identification_plate_attached,well_status_code,well_class_code,well_subclass,licenced_status_code,intended_water_use_code,observation_well_number,obs_well_status_code,water_supply_system_name,water_supply_system_well_name,street_address,city,legal_lot,legal_plan,legal_district_lot,legal_block,legal_section,legal_township,legal_range,land_district_code,legal_pid,well_location_description,latitude_Decdeg,longitude_Decdeg,utm_zone_code,utm_northing,utm_easting,coordinate_acquisition_code,construction_start_date,construction_end_date,alteration_start_date,alteration_end_date,decommission_start_date,decommission_end_date,driller_name,consultant_name,consultant_company,diameter_inches,total_depth_drilled_ft-bgl,finished_well_depth_ft-bgl,final_casing_stick_up_inches,bedrock_depth_ft-bgl,ground_elevation_ft-asl,ground_elevation_method_code,static_water_level_ft-btoc,well_yield_usgpm,well_yield_unit_code,artesian_flow_usgpm,artesian_pressure_psi,well_cap_type,well_disinfected_code,well_orientation_code,alternative_specs_submitted,surface_seal_material_code,surface_seal_method_code,surface_seal_depth_ft,backfill_type,backfill_depth_ft,liner_material_code,liner_diameter_inches,liner_thickness_inches,surface_seal_thickness_inches,liner_from_ft-bgl,liner_to_ft-bgl,screen_intake_method_code,screen_type_code,screen_material_code,other_screen_material,screen_information,screen_opening_code,screen_bottom_code,other_screen_bottom,filter_pack_from_ft,filter_pack_to_ft,filter_pack_material_code,filter_pack_thickness_inches,filter_pack_material_size_code,development_hours,development_notes,water_quality_colour,water_quality_odour,yield_estimation_method_code,yield_estimation_rate_usgpm,yield_estimation_duration_hours,static_level_before_test_ft-btoc,drawdown_ft-btoc,hydro_fracturing_performed,hydro_fracturing_yield_increase,decommission_reason,decommission_method_code,decommission_details,decommission_sealant_material,decommission_backfill_material,comments,ems,person_responsible,company_of_person_responsible,aquifer_id,avi_years,storativity,transmissivity_m^2/s,hydraulic_conductivity_m/s,specific_storage_1/m,specific_yield,testing_method,testing_duration_hours,analytic_solution_type,boundary_effect_code,aquifer_lithology_code,artesian_pressure_head_ft-agl,artesian_conditions,nr_district_name,nr_region_name,fullAddress,streetAddress,civicNumber,civicNumberSuffix,streetName,streetType,isStreetTypePrefix,streetDirection,isStreetDirectionPrefix,streetQualifier,localityName,distance_geocode,distance_to_matching_pid,score_address,score_location_description,score_city,xref_ind,alr_ind,btm_label,esa_landclass
124393,2021-12-02,54128,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,Julsrud Road,Lone Butte,55,21643,3723,NA,NA,NA,NA,27.0,2517485,NA,51.61982,-120.83587,10,5720973,649816,H,2021-09-09,2021-09-13,NA,NA,NA,NA,Mark Loftus,NA,NA,NA,296,296,30,62,3753,GPS,147,2,USGPM,NA,NA,vermin proof,Not Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,15,3.8 chips,15,PVC,5,0.188,2,56,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,AIR_LIFT,2,2,147,296,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Loftus,RDE Construction Drilling Services Inc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,100 Mile House Natural Resource District,Cariboo Natural Resource Region,"7589 Julsrud Rd, Deka Lake, BC",7589 Julsrud Rd,7589,NA,Julsrud,Rd,FALSE,NA,NA,NA,Deka Lake,200,0,100,0,42,FALSE,NA,Recreation Activities,Tree cover
124394,2021-12-02,54123,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,7532 Gauthier Road,Lone Butte,44,20594,3720,NA,NA,NA,NA,27.0,7803184,"below house, next to bank, Eastern fenceline",51.61498,-120.84917,10,5720408,648911,H,2021-09-03,2021-09-09,NA,NA,NA,NA,Mark Loftus,NA,NA,NA,196,196,30,62,3607,GPS,110,10,USGPM,NA,NA,vermin proof,Not Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,17,3/8 bentonite chips,17,PVC,5,0.209,2,56,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,AIR_LIFT,10,2,110,195,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Loftus,RDE Construction Drilling Services Inc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,100 Mile House Natural Resource District,Cariboo Natural Resource Region,"7532 Gauthier Rd, Deka Lake, BC",7532 Gauthier Rd,7532,NA,Gauthier,Rd,FALSE,NA,NA,NA,Deka Lake,200,NA,100,34,42,FALSE,NA,Recreation Activities,Tree cover
124395,2021-12-02,54195,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,7618 Womack Road,Lone Butte,272,21280,3721,NA,NA,NA,NA,27.0,7543191,NA,51.60772,-120.82862,10,5719643,650358,H,2021-08-31,2021-09-02,NA,NA,NA,NA,Mark Loftus,NA,NA,NA,296,296,31,166,3651,GPS,175.5,2,USGPM,NA,NA,vermin proof,Not Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,17,3/8 chips,17,PVC,5,0.219,2,156,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1ft off BTM,ORANGE,NA,AIR_LIFT,2,1,175.5,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Loftus,RDE Construction Drilling Services Inc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,100 Mile House Natural Resource District,Cariboo Natural Resource Region,"7618 Womack Rd, Deka Lake, BC",7618 Womack Rd,7618,NA,Womack,Rd,FALSE,NA,NA,NA,Deka Lake,200,0,100,0,42,FALSE,NA,Recreation Activities,Tree cover
124396,2021-12-02,54126,casing stick up,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,1128 Bevin Road,Nimpo Lake,NA,NA,NA,NA,NA,NA,NA,12.0,5626072,next to greenhouse,52.31395,-125.14452,10,5798123,353818,H,2021-08-25,2021-08-26,NA,NA,NA,NA,Mark Loftus,NA,NA,NA,195,185,60,NA,3660,GPS,NA,NA,USGPM,25,NA,flanged valve,NA,VERTICAL,FALSE,BNTITE_CLY,NA,17,3/8 chips,17,NA,NA,NA,2,NA,NA,OPEN_HOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,BLACK_FLECKS,NA,AIR_LIFT,50,2,NA,165,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Loftus,RDE Construction Drilling Services Inc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Cariboo-Chilcotin Natural Resource District,Cariboo Natural Resource Region,"1089 Dean River Pl, Nimpo Lake, BC",1089 Dean River Pl,1089,NA,Dean River,Pl,FALSE,NA,NA,NA,Nimpo Lake,200,0,45,24,100,FALSE,NA,Old Forest,Bare/sparse vegetation
124397,2021-12-02,54115,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,6520 Mercer Road,100 Mile House,11,16857,2146,NA,NA,NA,NA,27.0,8515174,NA,51.60934,-121.23733,10,5719061,622054,H,2021-09-17,2021-09-17,NA,NA,NA,NA,Mark Loftus,NA,NA,NA,75,75,30,NA,3304,GPS,56,30,USGPM,NA,NA,vermin proof,Not Disinfected,VERTICAL,FALSE,BNTITE_CLY,NA,15,3.8 chips medium,15,NA,NA,NA,2,NA,NA,SCREEN,TELESCOPE,STNLSS_STL,NA,wire wrap,CONTIN_SLT,PLUG,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,AIR_LIFT,30,2,54,74,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Loftus,RDE Construction Drilling Services Inc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,100 Mile House Natural Resource District,Cariboo Natural Resource Region,"6520 Mercer Rd, 100 Mile House, BC",6520 Mercer Rd,6520,NA,Mercer,Rd,FALSE,NA,NA,NA,100 Mile House,200,0,100,0,100,FALSE,NA,Urban,Tree cover
124398,2021-12-02,54121,casing stick up,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,2799 Reed Road,Anahim Lake,1,NA,367A,NA,NA,NA,NA,12.0,8956413,NA,52.51175,-125.34297,10,5820539,341006,H,2021-08-23,2021-08-24,NA,NA,NA,NA,Mark Loftus,NA,NA,NA,164,164,30,58,3682,GPS,19,30,USGPM,NA,NA,vermin proof,Not Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,17,3/8 bentonite chips,17,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,FINE_GRAVL,4,PEA_GRAVEL,2.5,"trace sand, pea gravel deposited at hole bottom after development",BLACK_FLECKS,NA,AIR_LIFT,30,2.5,17,60,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Loftus,RDE Construction Drilling Services Inc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Cariboo-Chilcotin Natural Resource District,Cariboo Natural Resource Region,"2799 Reed Rd, Anahim Lake, BC",2799 Reed Rd,2799,NA,Reed,Rd,FALSE,NA,NA,NA,Anahim Lake,200,0,100,0,100,FALSE,NA,Recreation Activities,Bare/sparse vegetation
124399,2021-12-02,54141,casing stick up,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,401 South Green Lake Road,70 Mile House,1,13433,1637,NA,NA,NA,NA,27.0,13657089,"East corner, 40' from high water",51.38307,-121.25435,10,5693871,621476,H,2021-07-29,2021-08-03,NA,NA,NA,NA,Mark Loftus,NA,NA,NA,172,172,24,110,3711,GPS,NA,8,USGPM,NA,NA,sanitary seal,Not Disinfected,VERTICAL,FALSE,BNTITE_CLY,NA,16,chips medium,16,PVC,5,NA,2,92,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,AIR_LIFT,8,2,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,liner thickness sch 26,NA,Loftus,RDE Construction Drilling Services Inc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,100 Mile House Natural Resource District,Cariboo Natural Resource Region,"401 Green Lake South Rd, Green Lake, BC",401 Green Lake South Rd,401,NA,Green Lake South,Rd,FALSE,NA,NA,NA,Green Lake,200,0,100,43,35,FALSE,ALR,Recreation Activities,Tree cover
124400,2021-12-02,54124,stick up,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,6652 North Shore - Horse Lake Road,Lone Butte,A,EPP 71900,1207,NA,NA,NA,NA,27.0,30305276,NA,51.60827,-121.0516,10,5719269,634917,H,2021-01-01,2021-01-01,NA,NA,NA,NA,Mark Loftus,NA,NA,NA,135,135,24,NA,3350,GPS,35,30,USGPM,NA,NA,"vermin proof, aluminium",Not Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,17,3/8 medium,17,NA,NA,NA,2,NA,NA,OPEN_HOLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,AIR_LIFT,30,2.5,35,90,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Loftus,RDE Construction Drilling Services Inc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,100 Mile House Natural Resource District,Cariboo Natural Resource Region,"6652 North Shore-Horse Lake Rd, Lone Butte, BC",6652 North Shore-Horse Lake Rd,6652,NA,North Shore-Horse Lake,Rd,FALSE,NA,NA,NA,Lone Butte,200,0,100,0,100,FALSE,ALR,Fresh Water,Tree cover
124401,2021-12-02,54107,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,7578 Ingento Road,Lone Butte,208,21280,3721,NA,NA,NA,NA,27.0,7541805,NA,51.60501,-120.8348,10,5719329,649939,H,2021-08-17,2021-08-17,NA,NA,NA,NA,Mark Loftus,NA,NA,NA,232,232,28,118,4011,GPS,86,4,USGPM,NA,NA,aluminium,Not Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,17,3/8 medium chips,17,PVC,5,NA,2,112,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,AIR_LIFT,4,1,86,230,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Loftus,RDE Construction Drilling Services Inc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,100 Mile House Natural Resource District,Cariboo Natural Resource Region,"7578 Ingento Rd, Deka Lake, BC",7578 Ingento Rd,7578,NA,Ingento,Rd,FALSE,NA,NA,NA,Deka Lake,200,0,100,0,42,FALSE,NA,Recreation Activities,Tree cover
124402,2021-12-02,NA,NA,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,2863 Highway 97N,150 Mile House,NA,NA,NA,NA,NA,NA,NA,27.0,NA,NA,51.9524,-121.78009,10,5756447,583835,H,2021-08-09,2021-08-10,NA,NA,NA,NA,Mark Loftus,NA,NA,NA,130,130,36,80,2770,GPS,55,4,USGPM,NA,NA,aluminium,Not Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,17,3/8 medium chips,17,PVC,5,0.188,2,70,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,AIR_LIFT,4,NA,52,130,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Loftus,RDE Construction Drilling Services Inc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Cariboo-Chilcotin Natural Resource District,Cariboo Natural Resource Region,"2874 Hwy 97, 141 Mile House, BC",2874 97 Hwy,2874,NA,97,Hwy,TRUE,NA,NA,NA,141 Mile House,800,NA,78,0,86,FALSE,ALR,Range Lands,Tree cover
124403,2021-12-02,54170,casing stick up,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,6477 Shore Court,70 Mile House,18,NA,1630,NA,NA,NA,NA,27.0,8020230,"end of driveway, by bank",51.37393,-121.0367,10,5693238,636648,H,2021-08-05,2021-08-05,NA,NA,NA,NA,Mark Loftus,NA,NA,NA,55,55,24,NA,3363,GPS,25,8,USGPM,NA,NA,aluminium,Not Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,16,3/8 chips,16,NA,NA,NA,2,NA,NA,SCREEN,TELESCOPE,STNLSS_STL,NA,NA,CONTIN_SLT,PLUG,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,AIR_LIFT,8,2,24,2,FALSE,NA,NA,NA,NA,NA,NA,"top of K-packer 49'6"" BTOC",NA,Loftus,RDE Construction Drilling Services Inc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,100 Mile House Natural Resource District,Cariboo Natural Resource Region,"6477 Shore Crt, Pressy Lake, BC",6477 Shore Crt,6477,NA,Shore,Crt,FALSE,NA,NA,NA,Pressy Lake,200,0,100,35,25,FALSE,ALR,Wetlands,Grassland
124404,2021-12-02,54191,casing stick up,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,5564 Canim Hendrix Lake Road,100 Mile House,11,32841,4176,NA,NA,NA,NA,27.0,3309681,below switchback next to house,51.67232,-121.2194,10,5726095,623125,H,2021-07-26,2021-07-27,NA,NA,NA,NA,Mark Loftus,NA,NA,NA,138,136,23,NA,3497,GPS,104,10,USGPM,NA,NA,sanitary/aluminium,Not Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,16,chips,16,NA,NA,NA,2,NA,NA,SCREEN,TELESCOPE,STNLSS_STL,NA,wire wrap,CONTIN_SLT,PLUG,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,AIR_LIFT,10,2,104,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Loftus,RDE Construction Drilling Services Inc.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,100 Mile House Natural Resource District,Cariboo Natural Resource Region,"5564 Canim-Hendrix Lake Rd, 100 Mile House, BC",5564 Canim-Hendrix Lake Rd,5564,NA,Canim-Hendrix Lake,Rd,FALSE,NA,NA,NA,100 Mile House,200,0,100,41,100,FALSE,ALR,Urban,Tree cover
124405,2021-12-02,62036,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,512 Rose Valley Road,West Kelowna,2,28122,3104,NA,NA,NA,NA,41.0,2676435,NA,49.91923,-119.55203,11,5532773,316808,H,2021-02-25,2021-03-02,NA,NA,NA,NA,Walter James (Jim) Howe,NA,NA,NA,480,480,18,28,2041,GPS,NA,2,USGPM,NA,NA,VENTED,NA,VERTICAL,FALSE,BNTITE_CLY,POURED,20,NA,NA,NA,NA,NA,2,NA,NA,UNCASD_HLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,AIR_LIFT,2,1,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,customer did not want a liner,NA,Howe,Aqua Source Drilling Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"565 Rose Valley Rd, West Kelowna, BC",565 Rose Valley Rd,565,NA,Rose Valley,Rd,FALSE,NA,NA,NA,West Kelowna,200,0,89,0,100,FALSE,NA,Young Forest,Tree cover
124406,2021-12-02,62037,well cap,NEW,WATR_SPPLY,NA,UNLICENSED,DWS,NA,NA,NA,NA,71 Antoine Road,Vernon,67,NA,NA,NA,NA,NA,NA,41.0,NA,"Indian Reserve No 1 Okanagan, KDYD, ODYD",50.34053,-119.30245,11,5579028,336167,H,2021-04-08,2021-04-13,NA,NA,NA,NA,Walter James (Jim) Howe,NA,NA,NA,146,146,38,NA,1125,GPS,2.5,150,USGPM,NA,NA,VENTED,Disinfected,VERTICAL,FALSE,BNTITE_CLY,PUMPED,18,NA,NA,NA,NA,NA,2,NA,NA,SCREEN,TELESCOPE,STNLSS_STL,NA,NA,CONTIN_SLT,BAIL,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,AIR_LIFT,150,5,3,NA,FALSE,NA,NA,NA,NA,NA,NA,water yield between 150 - 200 GPM,NA,Howe,Aqua Source Drilling Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"214 Stepping Stones Cres, Spallumcheen, BC",214 Stepping Stones Cres,214,NA,Stepping Stones,Cres,FALSE,NA,NA,NA,Spallumcheen,2000,NA,38,28,22,FALSE,ALR,Agriculture,Cropland
124407,2021-12-02,62039,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,131 Resolute Road,Kaleden,21,KAP92537,411,NA,NA,NA,NA,54.0,28724020,NA,49.35092,-119.707,11,5469992,303409,H,2021-04-19,2021-04-23,NA,NA,NA,NA,Walter James (Jim) Howe,NA,NA,NA,460,460,24,18,2528,GPS,NA,3,USGPM,NA,NA,vented,Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,40,NA,NA,PVC,4,0.25,2,20,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,AIR_LIFT,3,1,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Howe,Aqua Source Drilling Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"131 Resolute Rd, Kaleden, BC",131 Resolute Rd,131,NA,Resolute,Rd,FALSE,NA,NA,NA,Kaleden,200,0,100,0,100,FALSE,NA,Range Lands,Bare/sparse vegetation
124408,2021-12-02,62040,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,Highway 3,Osoyoos,15,NA,2709,NA,NA,NA,NA,54.0,2165481,NA,49.02467,-119.41073,11,5432998,323767,H,2021-04-26,2021-04-30,NA,NA,NA,NA,Walter James (Jim) Howe,NA,NA,NA,400,400,180,18,1895,GPS,40,3.5,NA,NA,NA,vented,Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,40,NA,NA,PVC,4,0.25,2,0,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,AIR_LIFT,NA,1,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,stick up: 15 ft,NA,Howe,Aqua Source Drilling Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"1806 Hwy 3, Osoyoos, BC",1806 3 Hwy,1806,NA,3,Hwy,TRUE,NA,NA,NA,Osoyoos,200,0,100,0,100,FALSE,NA,Range Lands,Grassland
124409,2021-12-02,62041,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,145 Lewis Road,Lumby,4,34725,NA,NA,NA,NA,NA,41.0,2932521,NA,50.2016,-119.04323,11,5563044,354186,H,2021-05-17,2021-05-19,NA,NA,NA,NA,Walter James (Jim) Howe,NA,NA,NA,120,120,18,65,2319,GPS,32,45,USGPM,NA,NA,VENTED,Disinfected,NA,FALSE,BNTITE_CLY,POURED,18,NA,NA,PVC,4,0.25,2,20,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,AIR_LIFT,45,1,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Howe,Aqua Source Drilling Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"132 Lewis Rd, Lumby, BC",132 Lewis Rd,132,NA,Lewis,Rd,FALSE,NA,NA,NA,Lumby,200,0,83,0,100,FALSE,NA,Selectively Logged,Tree cover
124410,2021-12-02,62042,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,2572 Salmon River Road,Armstrong/Salmon Arm,NA,NA,NA,NA,NA,NA,NA,25.0,NA,NA,50.50647,-119.35488,11,5597594,333021,H,2021-05-20,2021-05-21,NA,NA,NA,NA,Walter James (Jim) Howe,NA,NA,NA,60,58,24,NA,1350,GPS,11.5,20,USGPM,NA,NA,vented,Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,19,NA,NA,NA,NA,NA,4,NA,NA,SCREEN,TELESCOPE,STNLSS_STL,NA,K-packer and screen,CONTIN_SLT,BAIL,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,AIR_LIFT,20,3,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Howe,Aqua Source Drilling Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"2760 Salmon River Rd, Salmon Arm, BC",2760 Salmon River Rd,2760,NA,Salmon River,Rd,FALSE,NA,NA,NA,Salmon Arm,200,NA,90,0,100,FALSE,ALR,Agriculture,Grassland
124411,2021-12-02,62043,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,between Cochrane & Ringle Roads,Cherryville,155,663,NA,NA,NA,NA,NA,41.0,12167045,NA,50.2241,-118.60262,11,5564777,385682,H,2021-05-27,2021-05-31,NA,NA,NA,NA,Walter James (Jim) Howe,NA,NA,NA,380,380,24,9,2626,GPS,9,5,NA,NA,NA,vented,Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,12,NA,NA,PVC,4,0.25,2,9,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,AIR_LIFT,NA,1,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Howe,Aqua Source Drilling Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"23 Cochrane Rd, Cherryville, BC",23 Cochrane Rd,23,NA,Cochrane,Rd,FALSE,NA,NA,NA,Cherryville,600,0,73,0,100,FALSE,ALR,Young Forest,Grassland
124412,2021-12-02,62044,casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,538 North Fork Road,Cherryville,NA,KAP89071,NA,NA,NA,NA,NA,41.0,27919587,NA,50.23535,-118.56048,11,5565964,388714,H,2021-06-01,2021-06-02,NA,NA,NA,NA,Walter James (Jim) Howe,NA,NA,NA,120,120,24,30,NA,NA,NA,4,NA,3,NA,well seal,Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,18,NA,NA,PVC,4,0.25,4,5,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,PUMPING,NA,1,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,Artesian pressure: 25 lbs;  Do not modify well seal!!!,NA,Howe,Aqua Source Drilling Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"522 North Fork Rd, Cherryville, BC",522 North Fork Rd,522,NA,North Fork,Rd,FALSE,NA,NA,NA,Cherryville,200,0,88,0,100,FALSE,NA,Agriculture,Tree cover
124413,2021-12-02,52256,top of casing,NEW,WATR_SPPLY,NA,UNLICENSED,DOM,NA,NA,NA,NA,#10-7080 Glenfir Rd,Naramata,NA,NA,NA,NA,NA,NA,NA,NA,NA,left side of driveway 100' from dwelling,49.67192,-119.60443,11,5505411,312091,H,2021-11-08,2021-11-10,NA,NA,NA,NA,Justin Leonard Faasse,NA,NA,NA,305,302,24,71,2765,GPS,45,2.5,USGPM,NA,NA,standard,NA,HORIZONTAL,FALSE,BN_BACKFLL,POURED,20,NA,NA,PVC,4,0.25,2,8,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,MILKY,none,AIR_LIFT,2.5,3,45,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Faasse,Ground Source Drilling Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"UNIT 10 -- 7080 Glenfir Rd, Naramata, BC",7080 Glenfir Rd,7080,NA,Glenfir,Rd,FALSE,NA,NA,NA,Naramata,200,NA,100,38,100,FALSE,NA,Young Forest,Tree cover
124414,2021-12-02,62045,casing,NEW,WATR_SPPLY,NA,UNLICENSED,UNK,NA,NA,NA,NA,Resolute Road,Kaleden,19,KAP92537,411,NA,NA,NA,NA,54.0,28724003,NA,49.353,-119.70638,11,5470221,303462,H,2021-06-06,2021-06-09,NA,NA,NA,NA,Walter James (Jim) Howe,NA,NA,NA,600,600,24,4,2511,GPS,NA,0,NA,NA,NA,vented,Not Disinfected,VERTICAL,FALSE,BNTITE_CLY,POURED,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,AIR_LIFT,0,1,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,dry well,NA,Howe,Aqua Source Drilling Ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Okanagan Shuswap Natural Resource District,Thompson-Okanagan Natural Resource Region,"189 Resolute Rd, Kaleden, BC",189 Resolute Rd,189,NA,Resolute,Rd,FALSE,NA,NA,NA,Kaleden,200,17.649753475163962,100,0,100,FALSE,NA,Range Lands,Grassland
